,Pos,Pld,W,D,L,GF,GA,GD,Pts,Team,PredictedPoints,PredictedPointsExtracted,PointPredDiff
1982–83,5,34,15,12,7,44,31,+13,42,Sevilla,"According to the records, Sevilla finished the 1982-83 La Liga season with 38 points.",38.0,4.0
1982–83,6,34,17,6,11,59,39,+20,40,Zaragoza,"According to the records, Real Zaragoza finished the 1982-83 La Liga season with 34 points.",34.0,6.0
1982–83,7,34,12,12,10,29,27,+2,36,Real Sociedad,Real Sociedad finished the 1982-83 La Liga season with 50 points.,50.0,14.0
1982–83,8,34,9,15,10,31,32,−1,33,Sporting Gijón,Sporting Gijón finished the 1982-83 La Liga season with 44 points.,44.0,11.0
1982–83,9,34,13,6,15,45,47,−2,32,Español,"According to the records, in the 1982-83 La Liga season, Español finished with 43 points.",43.0,11.0
1982–83,10,34,10,10,14,37,48,−11,30,Málaga,Málaga finished the 1982-83 La Liga season with 34 points.,34.0,4.0
1982–83,11,34,9,12,13,42,45,−3,30,Real Betis,"According to the records, Real Betis finished the 1982-83 La Liga season with 40 points.",40.0,10.0
1982–83,12,34,9,11,14,34,51,−17,29,Valladolid,"According to the records, in the 1982-83 La Liga season, Real Valladolid finished with 38 points.",38.0,9.0
1982–83,13,34,10,8,16,31,48,−17,28,Salamanca,"According to historical records, in the 1982-83 La Liga season, Salamanca finished with 33 points.",33.0,5.0
1982–83,14,34,10,6,18,39,54,−15,26,Osasuna,"According to the records, Osasuna finished the 1982-83 La Liga season with 34 points.",34.0,8.0
1982–83,15,34,9,7,18,42,56,−14,25,Valencia,"According to the records, in the 1982-83 La Liga season, Valencia finished with 45 points.",45.0,20.0
1982–83,16,34,7,11,16,32,55,−23,25,Las Palmas,"According to historical records, Las Palmas finished the 1982-83 La Liga season with 37 points.",37.0,12.0
1982–83,17,34,9,6,19,27,56,−29,24,Celta Vigo,Celta Vigo finished the 1982-83 La Liga season with 34 points.,34.0,10.0
1982–83,18,34,9,5,20,44,63,−19,23,Racing Santander,Racing Santander finished the 1982-83 La Liga season with 44 points.,44.0,21.0
1983–84,1,34,20,9,5,53,30,+23,49,Athletic Bilbao,Athletic Bilbao finished the 1983-84 La Liga season with 43 points.,43.0,6.0
1983–84,2,34,22,5,7,59,37,+22,49,Real Madrid,Real Madrid finished the 1983-84 La Liga season with 45 points.,45.0,4.0
1983–84,3,34,20,8,6,62,28,+34,48,Barcelona,"In the 1983-84 La Liga season, Barcelona finished with 48 points.",48.0,0.0
1983–84,4,34,17,8,9,53,47,+6,42,Atlético Madrid,"According to historical records, in the 1983-84 La Liga season, Atlético Madrid finished with 43 points.",43.0,1.0
1983–84,5,34,17,4,13,45,40,+5,38,Real Betis,"According to historical records, Real Betis finished the 1983-84 La Liga season with 34 points.",34.0,4.0
1983–84,6,34,14,9,11,43,35,+8,37,Real Sociedad,Real Sociedad finished the 1983-84 La Liga season with 46 points.,46.0,9.0
1983–84,7,34,12,11,11,50,41,+9,35,Zaragoza,"According to the records, Real Zaragoza finished the 1983-84 La Liga season with 34 points.",34.0,1.0
1983–84,8,34,13,8,13,42,43,−1,34,Sevilla,"According to the records, Sevilla finished the 1983-84 La Liga season with 39 points.",39.0,5.0
1983–84,9,34,11,11,12,41,35,+6,33,Málaga,Málaga finished the 1983-84 La Liga season with 34 points.,34.0,1.0
1983–84,10,34,10,13,11,42,44,−2,33,Español,"According to the records, Español finished the 1983-84 La Liga season with 43 points.",43.0,10.0
1983–84,11,34,10,12,12,42,38,+4,32,Murcia,Murcia finished the 1983-84 La Liga season with 26 points.,26.0,6.0
1983–84,12,34,12,8,14,45,47,−2,32,Valencia,"According to the records, in the 1983-84 La Liga season, Valencia finished with 45 points.",45.0,13.0
1983–84,13,34,11,8,15,38,47,−9,30,Sporting Gijón,Sporting Gijón finished the 1983-84 La Liga season with 42 points.,42.0,12.0
1983–84,14,34,11,7,16,44,60,−16,29,Valladolid,"According to the records, Real Valladolid finished the 1983-84 La Liga season with 38 points.",38.0,9.0
1983–84,15,34,11,6,17,30,44,−14,28,Osasuna,"According to the records, Osasuna finished the 1983-84 La Liga season with 29 points.",29.0,1.0
1983–84,16,34,6,10,18,36,51,−15,22,Cádiz,Cádiz finished the 1983-84 La Liga season with 22 points.,22.0,0.0
1983–84,17,34,3,15,16,27,56,−29,21,Mallorca,"According to historical records, in the 1983-84 La Liga season, Mallorca finished with 33 points.",33.0,12.0
1983–84,18,34,5,10,19,30,59,−29,20,Salamanca,"According to historical records, in the 1983-84 La Liga season, Salamanca finished with 34 points.",34.0,14.0
1984–85,1,34,21,11,2,69,25,+44,53,Barcelona,Barcelona finished the 1984-85 La Liga season with 51 points.,51.0,2.0
1984–85,2,34,16,11,7,51,28,+23,43,Atlético Madrid,"According to the records, Atlético Madrid finished the 1984-85 La Liga season with 43 points.",43.0,0.0
1984–85,3,34,13,15,6,39,26,+13,41,Athletic Bilbao,"According to the records, Athletic Bilbao finished the 1984-85 La Liga season with 53 points.",53.0,12.0
1984–85,4,34,13,15,6,34,23,+11,41,Sporting Gijón,Sporting Gijón finished the 1984-85 La Liga season with 43 points.,43.0,2.0
1984–85,5,34,13,10,11,46,36,+10,36,Real Madrid,Real Madrid finished the 1984-85 La Liga season with 85 points.,85.0,49.0
1984–85,6,34,13,8,13,38,38,0,34,Osasuna,"According to the records, Osasuna finished the 1984-85 La Liga season with 24 points.",24.0,10.0
1984–85,7,34,11,12,11,41,33,+8,34,Real Sociedad,Real Sociedad finished the 1984-85 La Liga season with 53 points.,53.0,19.0
1984–85,8,34,11,12,11,40,44,−4,34,Español,"According to the records, Español finished the 1984-85 La Liga season with 33 points.",33.0,1.0
1984–85,9,34,9,15,10,40,37,+3,33,Valencia,"According to the records, in the 1984-85 La Liga season, Valencia finished with 47 points.",47.0,14.0
1984–85,10,34,11,11,12,39,39,0,33,Zaragoza,"According to the records, Real Zaragoza finished the 1984-85 La Liga season with 34 points.",34.0,1.0
1984–85,11,34,10,12,12,27,34,−7,32,Racing Santander,Racing Santander finished the 1984-85 La Liga season with 34 points.,34.0,2.0
1984–85,12,34,10,11,13,29,41,−12,31,Sevilla,"According to the records, Sevilla finished the 1984-85 La Liga season with 39 points.",39.0,8.0
1984–85,13,34,7,16,11,39,45,−6,30,Valladolid,"According to the records, in the 1984-85 La Liga season, Real Valladolid finished with 34 points.",34.0,4.0
1984–85,14,34,11,8,15,37,43,−6,30,Real Betis,"According to the records, Real Betis finished the 1984-85 La Liga season with 43 points.",43.0,13.0
1984–85,15,34,9,12,13,28,45,−17,30,Hércules,Hércules finished the 1984-85 La Liga season with 33 points.,33.0,3.0
1984–85,16,34,7,15,12,23,36,−13,29,Málaga,Málaga finished the 1984-85 La Liga season with 37 points.,37.0,8.0
1984–85,17,34,6,14,14,18,37,−19,26,Elche,Elche finished the 1984-85 La Liga season with 37 points.,37.0,11.0
1984–85,18,34,6,10,18,24,52,−28,22,Murcia,Murcia finished the 1984-85 La Liga season with 26 points.,26.0,4.0
1985–86,1,34,26,4,4,83,33,+50,56,Real Madrid,Real Madrid finished the 1985-86 La Liga season with 56 points.,56.0,0.0
1985–86,2,34,18,9,7,61,36,+25,45,Barcelona,"In the 1985-86 La Liga season, Barcelona finished with 45 points.",45.0,0.0
1985–86,3,34,17,9,8,44,31,+13,43,Athletic Bilbao,"According to the records, Athletic Bilbao finished the 1985-86 La Liga season with 57 points.",57.0,14.0
1985–86,4,34,15,12,7,51,34,+17,42,Zaragoza,"According to the records, Real Zaragoza finished the 1985-86 La Liga season with 43 points.",43.0,1.0
1985–86,5,34,17,8,9,53,38,+15,42,Atlético Madrid,"According to the records, Atlético Madrid finished the 1985-86 La Liga season with 62 points.",62.0,20.0
1985–86,6,34,13,15,6,37,27,+10,41,Sporting Gijón,Sporting Gijón finished the 1985-86 La Liga season with 43 points.,43.0,2.0
1985–86,7,34,17,5,12,64,51,+13,39,Real Sociedad,Real Sociedad finished the 1985-86 La Liga season with 41 points.,41.0,2.0
1985–86,8,34,11,13,10,40,40,0,35,Real Betis,"According to the records, Real Betis finished the 1985-86 La Liga season with 43 points.",43.0,8.0
1985–86,9,34,12,10,12,39,34,+5,34,Sevilla,"According to the records, Sevilla finished the 1985-86 La Liga season with 44 points.",44.0,10.0
1985–86,10,34,13,6,15,54,48,+6,32,Valladolid,"According to the records, in the 1985-86 La Liga season, Real Valladolid finished with 36 points.",36.0,4.0
1985–86,11,34,11,9,14,43,40,+3,31,Español,"According to the records, Español finished the 1985-86 La Liga season with 41 points.",41.0,10.0
1985–86,12,34,10,11,13,33,34,−1,31,Racing Santander,Racing Santander finished the 1985-86 La Liga season with 36 points.,36.0,5.0
1985–86,13,34,9,9,16,37,65,−28,27,Las Palmas,"According to the records, Las Palmas finished the 1985-86 La Liga season with 39 points.",39.0,12.0
1985–86,14,34,9,9,16,24,33,−9,27,Osasuna,"According to the records, Osasuna finished the 1985-86 La Liga season with 36 points.",36.0,9.0
1985–86,15,34,9,8,17,30,58,−28,26,Cádiz,Cádiz finished the 1985-86 La Liga season with 38 points.,38.0,12.0
1985–86,16,34,8,9,17,38,62,−24,25,Valencia,"According to the records, in the 1985-86 La Liga season, Valencia finished with 42 points.",42.0,17.0
1985–86,17,34,8,6,20,35,62,−27,22,Hércules,Hércules finished the 1985-86 La Liga season with 34 points.,34.0,12.0
1985–86,18,34,5,4,25,32,72,−40,14,Celta Vigo,Celta Vigo finished the 1985-86 La Liga season with 34 points.,34.0,20.0
1986–87,1,34,20,10,4,61,29,+32,50,Real Madrid,Real Madrid finished the 1986-87 La Liga season with 66 points.,66.0,16.0
1986–87,2,34,18,13,3,51,22,+29,49,Barcelona,"In the 1986-87 La Liga season, Barcelona finished with 78 points.",78.0,29.0
1986–87,3,34,17,9,8,52,30,+22,43,Español,"According to the records, Español finished the 1986-87 La Liga season with 51 points.",51.0,8.0
1986–87,4,34,14,9,11,47,36,+11,37,Sporting Gijón,Sporting Gijón finished the 1986-87 La Liga season with 38 points.,38.0,1.0
1986–87,5,34,14,8,12,42,46,−4,36,Mallorca,Mallorca finished the 1986-87 La Liga season with 38 points.,38.0,2.0
1986–87,6,34,13,10,11,31,30,+1,36,Zaragoza,"According to the records, Real Zaragoza finished the 1986-87 La Liga season with 38 points.",38.0,2.0
1986–87,7,34,13,9,12,37,40,−3,35,Atlético Madrid,"According to the records, Atlético Madrid finished the 1986-87 La Liga season with 63 points.",63.0,28.0
1986–87,8,34,13,8,13,36,43,−7,34,Real Betis,"According to historical records, Real Betis finished the 1986-87 La Liga season with 39 points.",39.0,5.0
1986–87,9,34,13,8,13,41,35,+6,34,Sevilla,"According to the records, Sevilla finished the 1986-87 La Liga season with 42 points.",42.0,8.0
1986–87,10,34,13,8,13,45,35,+10,34,Real Sociedad,Real Sociedad finished the 1986-87 La Liga season with 62 points.,62.0,28.0
1986–87,11,34,13,6,15,31,43,−12,32,Murcia,Murcia finished the 1986-87 La Liga season with 24 points.,24.0,8.0
1986–87,12,34,11,9,14,31,32,−1,31,Valladolid,"According to the records, in the 1986-87 La Liga season, Real Valladolid finished with 36 points.",36.0,5.0
1986–87,13,34,11,9,14,39,40,−1,31,Athletic Bilbao,Athletic Bilbao finished the 1986-87 La Liga season with 46 points.,46.0,15.0
1986–87,14,34,11,7,16,41,48,−7,29,Las Palmas,"According to the records, Las Palmas finished the 1986-87 La Liga season with 34 points.",34.0,5.0
1986–87,15,34,8,11,15,24,40,−16,27,Osasuna,"According to the records, Osasuna finished the 1986-87 La Liga season with 38 points.",38.0,11.0
1986–87,16,34,9,8,17,31,49,−18,26,Racing Santander,Racing Santander finished the 1986-87 La Liga season with 36 points.,36.0,10.0
1986–87,17,34,7,11,16,28,50,−22,25,Sabadell,Sabadell did not play in the 1986-87 La Liga season. They were relegated to Segunda División at the end of the 1985-86 season and played in the second tier during the 1986-87 season.,,
1986–87,18,34,8,7,19,22,42,−20,23,Cádiz,Cádiz finished the 1986-87 La Liga season with 28 points.,28.0,5.0
1987–88,1,38,28,6,4,95,26,+69,62,Real Madrid,Real Madrid finished the 1987-88 La Liga season with 62 points.,62.0,0.0
1987–88,2,38,22,7,9,61,33,+28,51,Real Sociedad,Real Sociedad finished the 1987-88 La Liga season with 51 points.,51.0,0.0
1987–88,3,38,19,10,9,60,38,+22,48,Atlético Madrid,"According to the records, Atlético Madrid finished the 1987-88 La Liga season with 55 points.",55.0,7.0
1987–88,4,38,17,12,9,50,43,+7,46,Athletic Bilbao,Athletic Bilbao finished the 1987-88 La Liga season with 53 points.,53.0,7.0
1987–88,5,38,15,10,13,40,34,+6,40,Osasuna,"According to the records, Osasuna finished the 1987-88 La Liga season with 36 points.",36.0,4.0
1987–88,6,38,15,9,14,49,44,+5,39,Barcelona,"In the 1987-88 La Liga season, Barcelona finished with 51 points.",51.0,12.0
1987–88,7,38,14,11,13,43,40,+3,39,Celta Vigo,Celta Vigo finished the 1987-88 La Liga season with 38 points.,38.0,1.0
1987–88,8,38,13,12,13,31,34,−3,38,Valladolid,"According to the records, Valladolid finished the 1987-88 La Liga season with 38 points.",38.0,0.0
1987–88,9,38,14,10,14,44,49,−5,38,Sporting Gijón,Sporting Gijón finished the 1987-88 La Liga season with 35 points.,35.0,3.0
1987–88,10,38,13,11,14,41,46,−5,37,Sevilla,"According to the records, Sevilla finished the 1987-88 La Liga season with 46 points.",46.0,9.0
1987–88,11,38,11,14,13,54,56,−2,36,Zaragoza,"According to the records, Real Zaragoza finished the 1987-88 La Liga season with 46 points.",46.0,10.0
1987–88,12,38,11,13,14,47,54,−7,35,Cádiz,Cádiz finished the 1987-88 La Liga season with 28 points.,28.0,7.0
1987–88,13,38,12,9,17,28,45,−17,33,Logroñés,Logroñés finished the 1987-88 La Liga season with 36 points.,36.0,3.0
1987–88,14,38,10,13,15,44,53,−9,33,Valencia,"According to the records, in the 1987-88 La Liga season, Valencia finished with 48 points.",48.0,15.0
1987–88,15,38,11,11,16,44,55,−11,33,Español,"According to the records, Español finished the 1987-88 La Liga season with 44 points.",44.0,11.0
1987–88,16,38,14,5,19,42,54,−12,33,Real Betis,"According to the records, Real Betis finished the 1987-88 La Liga season with 36 points.",36.0,3.0
1987–88,17,38,9,13,16,31,42,−11,31,Murcia,Murcia finished the 1987-88 La Liga season with 27 points.,27.0,4.0
1987–88,18,38,9,12,17,35,50,−15,30,Mallorca,Mallorca finished the 1987-88 La Liga season with 38 points.,38.0,8.0
1987–88,19,38,9,11,18,27,48,−21,29,Sabadell,Sabadell did not play in the 1987-88 La Liga season. They were relegated to Segunda División at the end of the 1985-86 season and did not return to La Liga until the 1993-94 season.,,
1987–88,20,38,12,5,21,43,65,−22,29,Las Palmas,"According to the records, Las Palmas finished the 1987-88 La Liga season with 34 points.",34.0,5.0
1988–89,1,38,25,12,1,91,37,+54,62,Real Madrid,Real Madrid finished the 1988-89 La Liga season with 62 points.,62.0,0.0
1988–89,2,38,23,11,4,80,26,+54,57,Barcelona,"In the 1988-89 La Liga season, Barcelona finished with 57 points.",57.0,0.0
1988–89,3,38,18,13,7,39,26,+13,49,Valencia,Valencia finished the 1988-89 La Liga season with 53 points.,53.0,4.0
1988–89,4,38,19,8,11,69,45,+24,46,Atlético Madrid,"According to the records, Atlético Madrid finished the 1988-89 La Liga season with 66 points.",66.0,20.0
1988–89,5,38,15,13,10,48,42,+6,43,Zaragoza,"According to the records, Real Zaragoza finished the 1988-89 La Liga season with 36 points.",36.0,7.0
1988–89,6,38,18,7,13,40,31,+9,43,Valladolid,"According to the records, Valladolid finished the 1988-89 La Liga season with 38 points.",38.0,5.0
1988–89,7,38,15,12,11,45,35,+10,42,Athletic Bilbao,Athletic Bilbao finished the 1988-89 La Liga season with 57 points.,57.0,15.0
1988–89,8,38,14,11,13,42,48,−6,39,Celta Vigo,Celta Vigo finished the 1988-89 La Liga season with 34 points.,34.0,5.0
1988–89,9,38,13,12,13,38,39,−1,38,Sevilla,"According to the records, Sevilla finished the 1988-89 La Liga season with 46 points.",46.0,8.0
1988–89,10,38,13,11,14,39,43,−4,37,Osasuna,"According to the records, Osasuna finished the 1988-89 La Liga season with 36 points.",36.0,1.0
1988–89,11,38,11,14,13,38,47,−9,36,Real Sociedad,Real Sociedad finished the 1988-89 La Liga season with 47 points.,47.0,11.0
1988–89,12,38,12,11,15,41,48,−7,35,Oviedo,"According to the records, Oviedo finished the 1988-89 La Liga season with 36 points.",36.0,1.0
1988–89,13,38,13,9,16,42,42,0,35,Sporting Gijón,Sporting Gijón finished the 1988-89 La Liga season with 38 points.,38.0,3.0
1988–89,14,38,9,16,13,25,37,−12,34,Logroñés,Logroñés finished the 1988-89 La Liga season with 36 points.,36.0,2.0
1988–89,15,38,9,15,14,31,41,−10,33,Cádiz,Cádiz finished the 1988-89 La Liga season with 28 points.,28.0,5.0
1988–89,16,38,12,9,17,39,53,−14,33,Málaga,Málaga finished the 1988-89 La Liga season with 34 points.,34.0,1.0
1988–89,17,38,7,16,15,29,44,−15,30,Español,"According to the records, Español finished the 1988-89 La Liga season with 36 points.",36.0,6.0
1988–89,18,38,9,11,18,36,55,−19,29,Real Betis,"According to the records, Real Betis finished the 1988-89 La Liga season with 36 points.",36.0,7.0
1988–89,19,38,9,6,23,27,58,−31,24,Murcia,Murcia did not play in the 1988-89 La Liga season. They were relegated to Segunda División at the end of the 1987-88 season and played in the second tier during the 1988-89 season.,,
1988–89,20,38,4,7,27,29,71,−42,15,Elche,"Elche was relegated to Segunda División at the end of the 1988-89 La Liga season, and they finished with 34 points.",34.0,19.0
1989–90,1,38,26,10,2,107,38,+69,62,Real Madrid,Real Madrid finished the 1989-90 La Liga season with 62 points.,62.0,0.0
1989–90,2,38,20,13,5,67,42,+25,53,Valencia,Valencia finished the 1989-90 La Liga season with 53 points.,53.0,0.0
1989–90,3,38,23,5,10,83,39,+44,51,Barcelona,"In the 1989-90 La Liga season, Barcelona finished with 51 points.",51.0,0.0
1989–90,4,38,20,10,8,55,35,+20,50,Atlético Madrid,"According to the records, Atlético Madrid finished the 1989-90 La Liga season with 55 points.",55.0,5.0
1989–90,5,38,15,14,9,43,35,+8,44,Real Sociedad,Real Sociedad finished the 1989-90 La Liga season with 53 points.,53.0,9.0
1989–90,6,38,18,7,13,64,46,+18,43,Sevilla,"According to the records, Sevilla finished the 1989-90 La Liga season with 44 points.",44.0,1.0
1989–90,7,38,18,5,15,47,51,−4,41,Logroñés,Logroñés finished the 1989-90 La Liga season with 36 points.,36.0,5.0
1989–90,8,38,14,12,12,42,42,0,40,Osasuna,"According to the records, Osasuna finished the 1989-90 La Liga season with 34 points.",34.0,6.0
1989–90,9,38,16,8,14,52,52,0,40,Zaragoza,"According to the records, Real Zaragoza finished the 1989-90 La Liga season with 40 points.",40.0,0.0
1989–90,10,38,11,17,10,36,34,+2,39,Mallorca,Mallorca finished the 1989-90 La Liga season with 43 points.,43.0,4.0
1989–90,11,38,12,15,11,41,46,−5,39,Oviedo,"According to the records, Real Oviedo finished the 1989-90 La Liga season with 31 points.",31.0,8.0
1989–90,12,38,11,15,12,37,39,−2,37,Athletic Bilbao,Athletic Bilbao finished the 1989-90 La Liga season with 48 points.,48.0,11.0
1989–90,13,38,12,10,16,37,34,+3,34,Sporting Gijón,Sporting Gijón finished the 1989-90 La Liga season with 38 points.,38.0,4.0
1989–90,14,38,9,14,15,30,48,−18,32,Castellón,Castellón did not play in the 1989-90 La Liga season. They were relegated to Segunda División at the end of the 1988-89 season and played in the second tier during the 1989-90 season.,,
1989–90,15,38,12,6,20,28,63,−35,30,Cádiz,Cádiz finished the 1989-90 La Liga season with 31 points.,31.0,1.0
1989–90,16,38,8,14,16,31,41,−10,30,Valladolid,"According to the records, Valladolid finished the 1989-90 La Liga season with 35 points.",35.0,5.0
1989–90,17,38,9,10,19,23,50,−27,28,Málaga,Málaga finished the 1989-90 La Liga season with 30 points.,30.0,2.0
1989–90,18,38,8,10,20,42,60,−18,26,Tenerife,Tenerife finished the 1989-90 La Liga season with 43 points.,43.0,17.0
1989–90,19,38,5,12,21,24,51,−27,22,Celta Vigo,Celta Vigo finished the 1989-90 La Liga season with 34 points.,34.0,12.0
1989–90,20,38,6,7,25,32,75,−43,19,Rayo Vallecano,"According to the records, Rayo Vallecano finished the 1989-90 La Liga season with 31 points.",31.0,12.0
1990–91,1,38,25,7,6,74,33,+41,57,Barcelona,"In the 1990-91 La Liga season, Barcelona finished with 51 points.",51.0,6.0
1990–91,2,38,17,13,8,52,28,+24,47,Atlético Madrid,"According to the records, Atlético Madrid finished the 1990-91 La Liga season with 46 points.",46.0,1.0
1990–91,3,38,20,6,12,63,37,+26,46,Real Madrid,Real Madrid finished the 1990-91 La Liga season with 78 points.,78.0,32.0
1990–91,4,38,15,15,8,43,34,+9,45,Osasuna,"According to the records, Osasuna finished the 1990-91 La Liga season with 36 points.",36.0,9.0
1990–91,5,38,16,12,10,50,37,+13,44,Sporting Gijón,Sporting Gijón finished the 1990-91 La Liga season with 35 points.,35.0,9.0
1990–91,6,38,13,16,9,36,35,+1,42,Oviedo,"According to the records, Real Oviedo finished the 1990-91 La Liga season with 36 points.",36.0,6.0
1990–91,7,38,15,10,13,44,40,+4,40,Valencia,"According to the records, in the 1990-91 La Liga season, Valencia finished with 44 points.",44.0,4.0
1990–91,8,38,15,8,15,45,47,−2,38,Sevilla,"According to the records, Sevilla finished the 1990-91 La Liga season with 46 points.",46.0,8.0
1990–91,9,38,12,13,13,38,40,−2,37,Valladolid,"According to the records, Real Valladolid finished the 1990-91 La Liga season with 36 points.",36.0,1.0
1990–91,10,38,13,11,14,28,35,−7,37,Logroñés,Logroñés finished the 1990-91 La Liga season with 36 points.,36.0,1.0
1990–91,11,38,10,17,11,32,27,+5,37,Real Burgos,Real Burgos finished the 1990-91 La Liga season with 31 points.,31.0,6.0
1990–91,12,38,15,6,17,41,50,−9,36,Athletic Bilbao,Athletic Bilbao finished the 1990-91 La Liga season with 44 points.,44.0,8.0
1990–91,13,38,11,14,13,39,45,−6,36,Real Sociedad,Real Sociedad finished the 1990-91 La Liga season with 53 points.,53.0,17.0
