CONM,year,mcap,revt,PERMNO,GVKEY,TIC,SIC,CIK
ARCHER-DANIELS-MIDLAND CO,2021,10.577636737977144,85249.0,10516,1722.0,ADM,2070,7084.0
AARON'S INC,2021,9.469790806013634,2677.92,10517,1076.0,AAN,7359,706688.0
MERIDIAN BIOSCIENCE INC,2021,8.948259174829868,317.896,10530,12433.0,VIVO,2835,794172.0
CLEARFIELD INC,2021,9.065126901328764,140.755,10547,12482.0,CLFD,3679,796505.0
PRO-DEX INC/CO,2021,7.927015081914819,38.029,10550,12458.0,PDEX,3841,788920.0
WATTS WATER TECHNOLOGIES INC,2021,9.728429826415224,1809.2,10606,12445.0,WTS,3490,795403.0
F N B CORP/FL,2021,9.587553450280993,1335.129,10629,18049.0,FNB,6020,37808.0
LAKELAND INDUSTRIES INC,2021,8.227160131547405,118.386,10645,12597.0,LAKE,3842,798081.0
P.A.M. TRANSPORTATION SVCS,2021,8.899528179672892,707.12,10649,12598.0,PTSI,4213,798287.0
CYANOTECH CORP,2021,7.30251621122738,35.968,10661,12575.0,CYAN,2833,768408.0
ENCOMPASS HEALTH CORP,2021,9.812435230644462,5121.6,10693,12589.0,EHC,8060,785161.0
FISERV INC,2021,10.82906886859431,16226.0,10696,12635.0,FISV,7374,798354.0
FIRST CITIZENS BANCSH  -CL A,2021,9.864019581830377,1959.012,10777,4690.0,FCNCA,6020,798941.0
BK TECHNOLOGIES CORP,2021,7.607706105800075,45.364,10779,1117.0,BKTI,3663,2186.0
BANK SOUTH CAROLINA CORP,2021,8.055342011215659,21.419,10781,17641.0,BKSC,6020,1007273.0
HEARTLAND EXPRESS INC,2021,9.12302957664168,607.284,10812,12840.0,HTLD,4213,799233.0
ORASURE TECHNOLOGIES INC,2021,8.796768272457118,233.674,10860,12915.0,OSUR,2835,1116463.0
CALERES INC,2021,8.936454022881815,2777.604,10866,2436.0,CAL,3140,14707.0
BRUNSWICK CORP,2021,9.89018504672525,5846.2,10874,2444.0,BC,3510,14930.0
DIXIE GROUP INC,2021,7.92821087921819,341.247,10886,4001.0,DXYN,2273,29332.0
UNISYS CORP,2021,9.14029324356214,2054.4,10890,2504.0,UIS,7373,746838.0
WSFS FINANCIAL CORP,2021,9.37770012178354,641.849,10892,17132.0,WSFS,6035,828944.0
INVESTORS TITLE CO,2021,8.5724059736847,329.498,10901,14401.0,ITIC,6361,720858.0
WEBSTER FINANCIAL CORP,2021,9.70402087518007,1266.216,10932,17150.0,WBS,6020,801337.0
MARKEL CORP,2021,10.227020129823948,12837.535,10933,12909.0,MKL,6331,1096343.0
AXOGEN INC,2021,8.59226082022983,127.358,10966,190355.0,AXGN,3842,805928.0
FIRST LONG ISLAND CORP,2021,8.700507453020617,135.533,11006,18307.0,FLIC,6020,740663.0
FIRST BANCORP P R,2021,9.45236737222007,915.872,11018,16821.0,FBP,6020,1057706.0
PSYCHEMEDICS CORP,2021,7.59367122174571,24.909,11043,13733.0,PMD,8071,806517.0
AMERICAN VANGUARD CORP,2021,8.70501503476371,556.872,11144,1585.0,AVD,2870,5981.0
PHOTRONICS INC,2021,9.059928647174686,663.761,11154,13200.0,PLAB,3674,810136.0
AMERICA'S CAR-MART INC,2021,8.823814228181694,1060.512,11174,13602.0,CRMT,5500,799850.0
OFG BANCORP,2021,9.121867096480036,583.89,11208,16981.0,OFG,6020,1030469.0
CATO CORP  -CL A,2021,8.541178160063318,769.271,11267,2818.0,CATO,5621,18255.0
FIRST BANCORP/NC,2021,9.211909854891646,329.529,11285,16777.0,FBNC,6020,811589.0
IMMUCELL CORP,2021,7.791948582621975,19.243,11292,13235.0,ICCC,2835,811641.0
WESBANCO INC,2021,9.338480783533669,617.752,11293,17151.0,WSBC,6020,203596.0
COCA-COLA CO,2021,11.407878807896912,38655.0,11308,3144.0,KO,2086,21344.0
AIR T INC,2021,7.860231965869917,177.077,11368,1210.0,AIRT,4513,353184.0
UNITED BANKSHARES INC/WV,2021,9.694459360296616,1073.209,11369,17248.0,UBSI,6020,729986.0
ENVESTNET INC,2021,9.637034678801806,1186.517,11370,184576.0,ENV,6282,1337619.0
DESTINATION XL GROUP INC,2021,8.555436329954121,505.021,11379,13381.0,DXLG,5651,813298.0
THERMOGENESIS HOLDINGS INC,2021,7.080306058526762,9.294,11394,13794.0,THMO,3821,811212.0
WASHINGTON TR BANCORP INC,2021,8.989871657081263,244.389,11397,19873.0,WASH,6020,737468.0
CADENCE DESIGN SYSTEMS INC,2021,10.712489230202724,2988.244,11403,13421.0,CDNS,7372,813672.0
CONSOLIDATED EDISON INC,2021,10.479746067620422,13676.0,11404,3413.0,ED,4931,1047862.0
CITY HOLDING CO,2021,9.090582851456183,235.108,11442,16781.0,CHCO,6020,726854.0
EBIX INC,2021,8.969771403675448,994.938,11481,13480.0,EBIX,7372,814549.0
CECO ENVIRONMENTAL CORP,2021,8.338903387694808,324.14,11499,1050.0,CECE,3564,3197.0
CPS TECHNOLOGIES CORP,2021,7.735491111038083,22.449,11511,13582.0,CPSH,3290,814676.0
FAIR ISAAC CORP,2021,10.0742437352175,1316.536,11533,13824.0,FICO,7373,814547.0
CONMED CORP,2021,9.617634999017078,1010.635,11547,13623.0,CNMD,3845,816956.0
HORIZON BANCORP INC,2021,8.958074273557958,254.835,11565,18533.0,HBNC,6020,706129.0
ENERPAC TOOL GROUP CORP,2021,9.087522083621128,528.66,11581,1706.0,EPAC,3533,6955.0
ATRION CORP,2021,9.103641235709569,165.009,11587,1234.0,ATRI,3841,701288.0
SECURITY NATL FINL CP  -CL A,2021,8.207693597563077,470.695,11593,17180.0,SNFCA,6162,318673.0
DENTSPLY SIRONA INC,2021,10.083815901160644,4231.0,11600,13700.0,XRAY,3843,818479.0
FASTENAL CO,2021,10.566605849141396,6010.9,11618,14225.0,FAST,5000,815556.0
CENTRAL PACIFIC FINANCIAL CP,2021,8.89643272939867,261.822,11628,16705.0,CPF,6020,701347.0
HERON THERAPEUTICS INC,2021,8.969092237719638,86.346,11636,13786.0,HRTX,2836,818033.0
COMSTOCK RESOURCES INC,2021,9.27516462577324,1850.73,11644,34010.0,CRK,1311,23194.0
NATURAL ALTERNATIVES,2021,7.89643912940792,178.52,11654,13765.0,NAII,2834,787253.0
GREEN DOT CORP,2021,9.29704052166914,1414.41,11664,184392.0,GDOT,7389,1386278.0
DTE ENERGY CO,2021,10.36470340465788,14947.0,11674,3897.0,DTE,4931,936340.0
DETROIT EDISON CO,2021,10.36470340465788,5809.0,11674,65089.0,DTE1,4911,28385.0
MATSON INC,2021,9.57796730558651,3925.3,11691,1254.0,MATX,4400,3453.0
INGLES MARKETS INC  -CL A,2021,9.09169990646153,4987.92,11701,12972.0,IMKTA,5411,50493.0
ALBANY INTL CORP  -CL A,2021,9.456974681663096,929.24,11731,14084.0,AIN,2221,819793.0
DONEGAL GROUP INC,2021,7.875768240214547,816.466,11748,16714.0,DGICA,6331,800457.0
II-VI INC,2021,9.860735937468135,3105.891,11752,14561.0,IIVI,3827,820318.0
JOHNSON OUTDOORS INC  -CL A,2021,8.923467747031586,751.651,11775,13906.0,JOUT,3690,788329.0
SVB FINANCIAL GROUP,2021,10.600376479020005,6027.0,11786,17120.0,SIVB,6020,719739.0
ALICO INC,2021,8.445982652837662,108.564,11790,1266.0,ALCO,100,3545.0
MITEK SYSTEMS INC,2021,8.895572672156769,119.797,11803,14113.0,MITK,3577,807863.0
CLEAN HARBORS INC,2021,9.73469466160521,3805.566,11809,14027.0,CLH,4955,822818.0
COMMUNITY TRUST BANCORP INC,2021,8.89105396215695,238.632,11844,19262.0,CTBI,6020,350852.0
EXXON MOBIL CORP,2021,11.41338689045893,276692.0,11850,4503.0,XOM,2911,34088.0
INTER PARFUMS INC,2021,9.53181434382978,879.516,11884,14309.0,IPAR,2844,822663.0
MGM RESORTS INTERNATIONAL,2021,10.323188649342466,9680.14,11891,14418.0,MGM,7990,789570.0
WASTE MANAGEMENT INC,2021,10.843960786710833,17931.0,11955,14477.0,WM,4953,823768.0
KKR & CO INC,2021,10.639318820232646,26087.341,11990,179741.0,KKR,6282,1404912.0
COCA COLA CONSOLIDATED INC,2021,9.645582966893196,5562.714,11995,3138.0,COKE,2086,317540.0
DYCOM INDUSTRIES INC,2021,9.451751224017066,3130.519,12008,4115.0,DY,1623,67215.0
QUAD/GRAPHICS INC,2021,8.215468359164033,2960.4,12009,184748.0,QUAD,2750,1481792.0
XPRESSPA GROUP INC,2021,8.284539959270894,73.729,12017,12987.0,XSPA,7990,1410428.0
GATX CORP,2021,9.56805439108552,1257.4,12036,4941.0,GATX,4700,40211.0
GOLD RESOURCE CORP,2021,8.139065627897194,125.196,12049,175503.0,GORO,1040,1160791.0
GENERAL DYNAMICS CORP,2021,10.764994755284611,38469.0,12052,5046.0,GD,3721,40533.0
GENERAL ELECTRIC CO,2021,11.015950440017145,74196.0,12060,5047.0,GE,9997,40545.0
LABORATORY CP OF AMER HLDGS,2021,10.47813192666954,16120.9,12062,14960.0,LH,8071,920148.0
OLD NATIONAL BANCORP,2021,9.477842244883176,852.868,12068,17095.0,ONB,6020,707179.0
ELECTROMED INC,2021,8.046924174230035,35.756,12078,185125.0,ELMD,3845,1488917.0
CHAMPIONS ONCOLOGY INC,2021,8.05302232747376,49.109,12146,14983.0,CSBR,2836,771856.0
LIFEWAY FOODS INC,2021,7.851264465499688,119.065,12209,15087.0,LWAY,2020,814586.0
LINDSAY CORP,2021,9.221138706029084,567.646,12211,14954.0,LNN,3523,836157.0
MGP INGREDIENTS INC,2021,9.27107926427744,626.72,12226,14891.0,MGPI,2085,835011.0
AVID BIOSERVICES INC,2021,9.254532024592226,119.597,12266,14603.0,CDMO,2835,704562.0
AMYRIS INC,2021,9.22301517340802,341.817,12307,184717.0,AMRS,2860,1365916.0
CHARTER COMMUNICATIONS INC,2021,11.051623021819118,51682.0,12308,126136.0,CHTR,4841,1091667.0
CHINA HGS REAL ESTATE INC,2021,7.705232345087848,58.491,12310,183932.0,HGSH,6552,1158420.0
BOQI INTERNATIONAL MEDCL INC,2021,7.270659507863673,27.08,12358,152109.0,BIMI,3490,1213660.0
PACIFIC BIOSCIENCES OF CALIF,2021,9.655254667974392,130.513,12360,185419.0,PACB,3826,1299130.0
VERA BRADLEY INC,2021,8.457945901273789,540.453,12363,185195.0,VRA,3100,1495320.0
BOOZ ALLEN HAMILTON HLDG CP,2021,10.05511548189568,8363.7,12366,185881.0,BAH,7370,1443646.0
GENERAL MOTORS CO,2021,10.930044634406418,127004.0,12369,5073.0,GM,3711,1467858.0
HOWARD HUGHES CORP,2021,9.749034683443908,1427.901,12373,185797.0,HHC,6552,1498828.0
PARK CITY GROUP INC,2021,8.04568747664692,21.007,12380,116166.0,PCYG,7372,50471.0
LPL FINANCIAL HOLDINGS INC,2021,10.107399901409504,7720.83,12400,178519.0,LPLA,6211,1397911.0
FIRST REPUBLIC BANK,2021,10.562280830793764,5305.0,12448,14275.0,FRC,6020,1132979.0
FLEETCOR TECHNOLOGIES INC,2021,10.259488377901784,2833.736,12449,184700.0,FLT,7374,1175454.0
INFUSYSTEM HOLDINGS INC,2021,8.546113672235997,102.382,12452,174428.0,INFU,8090,1337013.0
KNIGHT-SWIFT TRPTN HLDGS INC,2021,10.004898025385469,5998.019,12473,30861.0,KNX,4213,1492691.0
TARGA RESOURCES CORP,2021,10.077785545851556,16949.8,12476,185532.0,TRGP,4923,1389170.0
WALKER & DUNLOP INC,2021,9.684297072441082,1293.704,12477,185370.0,WD,6162,1497770.0
ACNB CORP,2021,8.433736432755456,100.834,12480,17173.0,ACNB,6020,715579.0
HOME FEDERAL BANCORP INC/LA,2021,7.833554303217426,25.697,12487,162825.0,HFBL,6035,1302901.0
SEMILEDS CORP,2021,7.313976834268267,4.735,12488,185380.0,LEDS,3674,1333822.0
INTL BUSINESS MACHINES CORP,2021,11.078697056374592,57350.0,12490,6066.0,IBM,7370,51143.0
ASSEMBLY BIOSCIENCES INC,2021,8.049681539693827,6.254,12497,185289.0,ASMB,2836,1426800.0
OCONEE FEDERAL FINANCIAL CP,2021,8.094388873933097,18.671,12502,185569.0,OFED,6035,1501078.0
BANKUNITED INC,2021,9.576276859022974,1093.601,12515,185824.0,BKU,6020,1504008.0
IBIO INC,2021,8.077945158579627,2.383,12527,180683.0,IBIO,2836,1420720.0
KINDER MORGAN INC,2021,10.555291425766695,16610.0,12558,6310.0,KMI,4923,1506307.0
ITT INC,2021,9.94188216382902,2765.0,12570,5860.0,ITT,3561,216228.0
ACELRX PHARMACEUTICALS INC,2021,7.91550973949666,2.818,12573,185908.0,ACRX,2834,1427925.0
FLUIDIGM CORP,2021,8.479319696496091,130.581,12577,179840.0,FLDM,3826,1162194.0
GEVO INC,2021,8.936771488116335,0.711,12579,186437.0,GEVO,2860,1392380.0
PACIRA BIOSCIENCES INC,2021,9.430017744903711,541.533,12583,185836.0,PCRX,2834,1396814.0
APOLLO GLOBAL MGMT INC,2021,10.251874572170603,5951.598,12591,184254.0,APO,6282,1411494.0
XTANT MEDICAL HOLDINGS INC,2021,7.686687738150941,55.263,12592,185193.0,XTNT,2836,1453593.0
FUTUREFUEL CORP,2021,8.524200444268242,321.386,12615,287462.0,FF,2860,1337298.0
HCA HEALTHCARE INC,2021,10.902590436326614,58752.0,12622,22260.0,HCA,8062,860730.0
HUNTINGTON INGALLS IND INC,2021,9.87395916365012,9524.0,12623,186310.0,HII,3730,1501585.0
MAGNACHIP SEMICONDUCTOR CORP,2021,8.988724371951333,474.23,12629,233491.0,MX,3674,1325702.0
AIR LEASE CORP,2021,9.70257226307274,2003.337,12641,186278.0,AL,7359,1487712.0
SPIRE INC,2021,9.528224006097789,2235.5,12781,6547.0,SR,4924,1126956.0
THERMON GROUP HOLDINGS INC,2021,8.751505301711468,355.674,12783,186360.0,THR,3690,1489096.0
KOSMOS ENERGY LTD,2021,9.194107868542998,1332.013,12788,186276.0,KOS,1311,1509991.0
AMPIO PHARMACEUTICALS INC,2021,8.1121493565764,0.0,12789,184465.0,AMPE,2834,1411906.0
SPIRIT AIRLINES INC,2021,9.374500755080128,3230.775,12796,185624.0,SAVE,4512,1498710.0
COMSTOCK MINING INC,2021,7.925482938842699,0.862,12840,147183.0,LODE,1040,1120970.0
MARATHON PETROLEUM CORP,2021,10.595402255466643,119983.0,12872,186989.0,MPC,2911,1510295.0
HC2 HOLDINGS INC,2021,8.459002654189245,1205.2,12877,63952.0,HCHC,3440,1006837.0
AMC NETWORKS INC,2021,9.02690916894795,3077.608,12880,187406.0,AMCX,4833,1514991.0
SUNCOKE ENERGY INC,2021,8.738387129850766,1456.0,12905,186773.0,SXC,3312,1514705.0
CHEFS' WAREHOUSE INC,2021,9.100945914213128,1745.757,12913,186960.0,CHEF,5140,1517175.0
IF BANCORP INC,2021,7.927757359473503,30.585,12920,187596.0,IROQ,6035,1514743.0
ZILLOW GROUP INC,2021,9.58290397508152,8147.376,12927,187039.0,Z,7370,1617640.0
FORTUNE BRANDS HOME & SECUR,2021,10.161666352889602,7656.1,12981,188255.0,FBHS,2430,1519751.0
FARMERS NATL BANC CORP/OH,2021,8.798517989304976,154.652,13006,29855.0,FMNB,6020,709337.0
LCNB CORP,2021,8.384648967178437,77.409,13007,66210.0,LCNB,6020,1074902.0
GENIE ENERGY LTD,2021,8.137425390591945,363.725,13019,190590.0,GNE,4931,1528356.0
XYLEM INC,2021,10.334947560702329,5195.0,13035,189491.0,XYL,3561,1524472.0
UBIQUITI INC,2021,10.282329676137731,1898.094,13046,187462.0,UI,3663,1511737.0
MARRIOTT VACATIONS WORLDWIDE,2021,9.857193928355928,3890.0,13085,191255.0,VAC,7011,1524358.0
ACADIA HEALTHCARE CO INC,2021,9.732715308203842,2314.394,13105,192255.0,ACHC,8060,1520697.0
GROUPON INC,2021,8.837685058009184,967.108,13108,187363.0,GRPN,7370,1490281.0
BONANZA CREEK ENERGY INC,2021,9.61829522680464,930.614,13116,187698.0,BCEI,1311,1509589.0
LAREDO PETROLEUM INC,2021,9.011299282241817,1394.075,13124,187961.0,LPI,1311,1528129.0
FORTRESS BIOTECH INC,2021,8.404132123695314,68.791,13159,196269.0,FBIO,2834,1429260.0
TRIPADVISOR INC,2021,9.535247917768762,902.0,13168,199356.0,TRIP,7370,1526520.0
GUIDEWIRE SOFTWARE INC,2021,9.975797346212076,743.267,13181,190455.0,GWRE,7372,1528396.0
POST HOLDINGS INC,2021,9.848364014354951,6226.7,13188,170527.0,POST,2015,1530950.0
RADIANT LOGISTICS INC,2021,8.559302320114448,889.124,13196,162914.0,RLGT,4731,1171155.0
BANK OF THE JAMES FINANCIAL,2021,7.865079444901263,40.39,13198,136844.0,BOTJ,6020,1275101.0
VERASTEM INC,2021,8.579596466815858,2.053,13202,194255.0,VSTM,2836,1526119.0
EPAM SYSTEMS INC,2021,10.57880515629667,3758.144,13210,187697.0,EPAM,7370,1352010.0
MATADOR RESOURCES CO,2021,9.636692971329316,1662.981,13244,187812.0,MTDR,1311,1520006.0
PROTO LABS INC,2021,9.151292148412482,488.098,13249,187696.0,PRLB,3559,1443669.0
U S SILICA HOLDINGS INC,2021,8.845697820635234,1054.979,13253,181989.0,SLCA,1400,1524741.0
BRIGHTCOVE INC,2021,8.624874848684637,211.093,13260,187959.0,BCOV,7370,1313275.0
ORBITAL ENERGY GROUP INC,2021,8.253765134200824,82.948,13265,65675.0,OEG,3670,1108967.0
HOMESTREET INC,2021,9.018875179702489,364.27,13278,187164.0,HMST,6020,1518715.0
CHF SOLUTIONS INC,2021,7.079663045573242,7.921,13279,271987.0,CHFS,3845,1506492.0
ALLISON TRANSMISSION HLDGS,2021,9.578622135786055,2402.0,13284,177966.0,ALSN,3714,1411207.0
REGIONAL MANAGEMENT CORP,2021,8.755526915023935,428.351,13302,187253.0,RM,6141,1519401.0
NL INDUSTRIES,2021,8.557678239344337,140.815,13303,7658.0,NL,3562,72162.0
REXNORD CORP,2021,9.64514116431701,910.9,13305,180474.0,RXN,3560,1439288.0
YELP INC,2021,9.422606226526865,1031.839,13318,196268.0,YELP,7370,1345016.0
ENPHASE ENERGY INC,2021,10.389069790780638,1382.049,13323,187450.0,ENPH,3674,1463101.0
GALECTIN THERAPEUTICS INC,2021,8.089325206123663,0.0,13324,150221.0,GALT,2834,1133416.0
MERRIMACK PHARMACEUTICALS,2021,7.7196055352474655,0.0,13325,187631.0,MACK,2836,1274792.0
M/ACOM TECHNOLOGY SOLUTIONS,2021,9.73690729864293,606.92,13326,187740.0,MTSI,3674,1493594.0
TURTLE BEACH CORP,2021,8.556181460505938,366.354,13328,19602.0,HEAR,3651,1493761.0
FORUM ENERGY TECH INC,2021,7.959823372451909,541.068,13337,171059.0,FET,3533,1401257.0
MRC GLOBAL INC,2021,8.754915361953088,2666.0,13343,180016.0,MRC,5051,1439095.0
PHILLIPS 66,2021,10.501740969284532,111476.0,13356,170841.0,PSX,2911,1534701.0
CLEARSIGN TECHNOLOGIES CORP,2021,7.639318715602979,0.607,13369,171155.0,CLIR,3823,1434524.0
FIESTA RESTAURANT GROUP INC,2021,8.436746547457952,357.277,13375,187833.0,FRGI,5812,1534992.0
SPLUNK INC,2021,10.264223368536973,2673.664,13379,170616.0,SPLK,7372,1353283.0
TILLY'S INC,2021,8.58111028071113,775.694,13399,187575.0,TLYS,5600,1524025.0
FACEBOOK INC,2021,11.893774420908652,117929.0,13407,170617.0,FB,7370,1326801.0
SUPERNUS PHARMACEUTICALS INC,2021,9.19115606358955,579.775,13410,186159.0,SUPN,2834,1356576.0
CARDIFF ONCOLOGY INC,2021,8.401751350359609,0.359,13411,155387.0,CRDF,2835,1213037.0
IDEANOMICS INC,2021,8.775776125409866,114.08,13412,24658.0,IDEX,6200,837852.0
SERVICENOW INC,2021,11.111171369516317,5896.0,13447,171007.0,NOW,7372,1373715.0
CHEMBIO DIAGNOSTICS INC,2021,7.535543482879639,47.818,13453,140568.0,CEMI,2835,1092662.0
NATURAL GROCERS VITAMIN CTGE,2021,8.508768010557086,1055.516,13508,11922.0,NGVC,5400,1547459.0
PALO ALTO NETWORKS INC,2021,10.739835555873135,4256.1,13511,171067.0,PANW,7370,1327567.0
CHUY'S HOLDINGS INC,2021,8.756189079744647,396.467,13520,187775.0,CHUY,5812,1524931.0
FIVE BELOW INC,2021,10.064121364815438,2848.354,13527,171141.0,FIVE,5331,1177609.0
FS BANCORP INC,2021,8.438948923847052,133.887,13528,181820.0,FSBW,6036,1530249.0
HOMETRUST BANCSHARES INC,2021,8.703348941972125,158.554,13534,170419.0,HTBI,6020,1538263.0
FRANCHISE GROUP INC,2021,9.32261029804754,3228.482,13537,188856.0,FRG,7200,1528930.0
GLOBUS MEDICAL INC,2021,9.756329179508864,958.102,13543,171002.0,GMED,3841,1237831.0
BLOOMIN' BRANDS INC,2021,9.272428306530276,4119.252,13548,171049.0,BLMN,5812,1546417.0
PERFORMANT FINANCIAL CORP,2021,8.222631190223703,124.393,13559,170965.0,PFMT,7320,1550695.0
SOUND FINANCIAL BANCORP INC,2021,8.060758259730713,41.203,13561,179234.0,SFBC,6035,1541119.0
HYSTER-YALE MATERIALS HNDLNG,2021,8.72751783377317,3075.7,13577,160681.0,HY,3537,1173514.0
NATIONAL BANK HLDGS CORP,2021,9.124274013838235,311.329,13579,190963.0,NBHC,6020,1475841.0
LIFEVANTAGE CORP,2021,7.90941737517685,220.181,13599,25027.0,LFVN,2834,849146.0
QUALYS INC,2021,9.72972743924617,411.172,13600,11745.0,QLYS,7372,1107843.0
BERRY GLOBAL GROUP INC,2021,10.000198340421829,13850.0,13604,180483.0,BERY,3080,1378992.0
OLIN CORP,2021,9.96224452508863,8910.6,13610,8123.0,OLN,2810,74303.0
PUMA BIOTECHNOLOGY INC,2021,8.097517738850867,253.155,13621,170945.0,PBYI,2836,1401667.0
REALOGY HOLDINGS CORP,2021,9.29222156573231,7983.0,13622,174022.0,RLGY,6531,1398987.0
SHUTTERSTOCK INC,2021,9.607728716197093,773.415,13625,3382.0,SSTK,7370,1549346.0
WORKDAY INC,2021,10.722006193801866,5138.798,13628,15044.0,WDAY,7370,1327811.0
DIAMONDBACK ENERGY INC,2021,10.28214327210976,6797.0,13641,170750.0,FANG,1311,1539838.0
INTERCEPT PHARMA INC,2021,8.682816467588726,363.468,13643,14320.0,ICPT,2836,1270073.0
APOLLO ENDOSURGERY INC,2021,8.522930136648558,62.989,13648,29687.0,APEN,3841,1251769.0
REGULUS THERAPEUTICS INC,2021,7.662577137033158,0.0,13652,13835.0,RGLS,2836,1505512.0
RH,2021,10.060927987914374,3757.62,13687,111873.0,RH,5712,1528849.0
PG&E CORP,2021,10.382059923163542,20642.0,13688,8264.0,PCG,4931,1004980.0
ATOSSA THERAPEUTICS INC,2021,8.306636011241858,0.0,13693,185659.0,ATOS,2834,1488039.0
CHEMUNG FINANCIAL CORP,2021,8.336581499353974,92.178,13694,17877.0,CHMG,6020,763563.0
NEOGENOMICS INC,2021,9.626808799512943,484.329,13704,125794.0,NEO,8071,1077183.0
UNITED INSURANCE HOLDINGS CO,2021,8.274679151661273,634.527,13712,178823.0,UIHC,6331,1401521.0
ABBVIE INC,2021,11.379071414949824,56197.0,13721,16101.0,ABBV,2836,1551152.0
PBF ENERGY INC,2021,9.19301061450358,27253.4,13730,196159.0,PBF,2911,1534504.0
BRIGHT HORIZONS FAMILY SOLTN,2021,9.880770716155965,1755.307,13739,65275.0,BFAM,8351,1437578.0
TRI POINTE GROUP INC,2021,9.491311091376383,3982.235,13748,258869.0,TPH,1531,1561680.0
BOISE CASCADE CO,2021,9.447214982227148,7926.111,13766,16486.0,BCC,5031,1328581.0
AMERICAN SHARED HSPTL SERV,2021,7.143238451181349,17.628,13769,1559.0,AMS,8090,744825.0
AMERICAN SOFTWARE  -CL A,2021,8.918534056933373,127.553,13777,1562.0,AMSWA,7372,713425.0
ZOETIS INC,2021,11.062420034689682,7786.0,13788,13721.0,ZTS,2834,1555280.0
HARROW HEALTH INC,2021,8.36631445410954,72.476,13796,176636.0,HROW,2834,1360214.0
FIRST INTERNET BANCORP,2021,8.661650064323629,164.204,13797,162293.0,INBK,6020,1562463.0
ORAMED PHARMACEUTICALS INC,2021,8.736325192440441,2.703,13798,170450.0,ORMP,2836,1176309.0
ARTISAN PARTNERS ASSET MGMT,2021,9.492325910801052,1227.236,13802,16113.0,APAM,6282,1517302.0
MARIN SOFTWARE INC,2021,7.760601291489056,24.42,13812,17376.0,MRIN,7370,1389002.0
MODEL N INC,2021,9.034605141243084,193.445,13816,17553.0,MODN,7370,1118417.0
ENANTA PHARMACEUTICALS INC,2021,9.185666413856104,97.074,13825,16269.0,ENTA,2836,1177648.0
PROFESSIONAL DIVERSITY NETWK,2021,7.195562564429832,6.099,13828,8661.0,IPDN,7370,1546296.0
EVERTEC INC,2021,9.555947754477923,589.796,13837,185375.0,EVTC,7374,1559865.0
INSPIREMD INC,2021,7.398875686338135,4.495,13844,186953.0,NSPR,3845,1433607.0
